context,question,answer,false_answer1,false_answer2,false_answer3
"Dog behavior is the internally coordinated responses (actions or inactions) of the domestic dog (individuals or groups) to internal and/or external stimuli. As the oldest domesticated species, with estimates ranging from 9,000–30,000 years BCE, the minds of dogs inevitably have been shaped by millennia of contact with humans. As a result of this physical and social evolution, dogs, more than any other species, have acquired the ability to understand and communicate with humans and they are uniquely attuned to our behaviors. Behavioral scientists have uncovered a surprising set of social-cognitive abilities in the otherwise humble domestic dog. These abilities are not possessed by the dog's closest canine relatives nor by other highly intelligent mammals such as great apes. Rather, these skills parallel some of the social-cognitive skills of human children.",What is the internal response of a dog to stimuli called?, Dog behavior, Behavior, Animal behavior, Dog interactions
"Dog behavior is the internally coordinated responses (actions or inactions) of the domestic dog (individuals or groups) to internal and/or external stimuli. As the oldest domesticated species, with estimates ranging from 9,000–30,000 years BCE, the minds of dogs inevitably have been shaped by millennia of contact with humans. As a result of this physical and social evolution, dogs, more than any other species, have acquired the ability to understand and communicate with humans and they are uniquely attuned to our behaviors. Behavioral scientists have uncovered a surprising set of social-cognitive abilities in the otherwise humble domestic dog. These abilities are not possessed by the dog's closest canine relatives nor by other highly intelligent mammals such as great apes. Rather, these skills parallel some of the social-cognitive skills of human children.",What are dogs uniquely?, attuned to our behaviors, possessed by our animals., responsible to our movements, organized to human behaviors
"Dog behavior is the internally coordinated responses (actions or inactions) of the domestic dog (individuals or groups) to internal and/or external stimuli. As the oldest domesticated species, with estimates ranging from 9,000–30,000 years BCE, the minds of dogs inevitably have been shaped by millennia of contact with humans. As a result of this physical and social evolution, dogs, more than any other species, have acquired the ability to understand and communicate with humans and they are uniquely attuned to our behaviors. Behavioral scientists have uncovered a surprising set of social-cognitive abilities in the otherwise humble domestic dog. These abilities are not possessed by the dog's closest canine relatives nor by other highly intelligent mammals such as great apes. Rather, these skills parallel some of the social-cognitive skills of human children.",What is the oldest domesticated species?, minds of dogs inevitably have been shaped by millennia of contact with humans, dogs are uniquely attuned to our behaviors., dogs have acquired the ability to understand and communicate with humans, dogs are extremely intelligent.
"Dog behavior is the internally coordinated responses (actions or inactions) of the domestic dog (individuals or groups) to internal and/or external stimuli. As the oldest domesticated species, with estimates ranging from 9,000–30,000 years BCE, the minds of dogs inevitably have been shaped by millennia of contact with humans. As a result of this physical and social evolution, dogs, more than any other species, have acquired the ability to understand and communicate with humans and they are uniquely attuned to our behaviors. Behavioral scientists have uncovered a surprising set of social-cognitive abilities in the otherwise humble domestic dog. These abilities are not possessed by the dog's closest canine relatives nor by other highly intelligent mammals such as great apes. Rather, these skills parallel some of the social-cognitive skills of human children.",How old is the estimate of domesticated dogs?," 9,000–30,000 years BCE"," 10,000 –30,000 months BCE", 3000 years BCE," 2,000–30,000 year BCE."
"In the Romantic era, the modern piano, with a more powerful, sustained tone and a wider range took over from the more delicate-sounding fortepiano. In the orchestra, the existing Classical instruments and sections were retained (string section, woodwinds, brass and percussion), but these sections were typically expanded to make a fuller, bigger sound. For example, while a Baroque orchestra may have had two double bass players, a Romantic orchestra could have as many as ten. ""As music grew more expressive, the standard orchestral palette just wasn't rich enough for many Romantic composers.""  New woodwind instruments were added, such as the contrabassoon, bass clarinet and piccolo and new percussion instruments were added, including xylophones, drums, celestes (a bell-like keyboard instrument), large orchestral harps, bells, and triangles  and even wind machines for sound effects.",What new woodwind instruments were added?," contrabassoon, bass clarinet and piccolo", percussion and bass claret," xylophones, drums, celestes and large orchestral harps"," piano, brass and percussion"
"In the Romantic era, the modern piano, with a more powerful, sustained tone and a wider range took over from the more delicate-sounding fortepiano. In the orchestra, the existing Classical instruments and sections were retained (string section, woodwinds, brass and percussion), but these sections were typically expanded to make a fuller, bigger sound. For example, while a Baroque orchestra may have had two double bass players, a Romantic orchestra could have as many as ten. ""As music grew more expressive, the standard orchestral palette just wasn't rich enough for many Romantic composers.""  New woodwind instruments were added, such as the contrabassoon, bass clarinet and piccolo and new percussion instruments were added, including xylophones, drums, celestes (a bell-like keyboard instrument), large orchestral harps, bells, and triangles  and even wind machines for sound effects.",What were the Classical instruments and sections retained in a Romantic orchestra?," strings section, woodwinds, brass and percussion"," violin section, woodwinds and bass"," bass clarinet and piccolo, strings section, bass clarines and a percussion on the bass", guitar section and xylophones
"In the Romantic era, the modern piano, with a more powerful, sustained tone and a wider range took over from the more delicate-sounding fortepiano. In the orchestra, the existing Classical instruments and sections were retained (string section, woodwinds, brass and percussion), but these sections were typically expanded to make a fuller, bigger sound. For example, while a Baroque orchestra may have had two double bass players, a Romantic orchestra could have as many as ten. ""As music grew more expressive, the standard orchestral palette just wasn't rich enough for many Romantic composers.""  New woodwind instruments were added, such as the contrabassoon, bass clarinet and piccolo and new percussion instruments were added, including xylophones, drums, celestes (a bell-like keyboard instrument), large orchestral harps, bells, and triangles  and even wind machines for sound effects.",What were the characteristics of modern pianos?," a more powerful, sustained tone and a wider range", much more powerful and strong," fewer powerful, sustained tone", a more dynamic and sharp tone
"In the Romantic era, the modern piano, with a more powerful, sustained tone and a wider range took over from the more delicate-sounding fortepiano. In the orchestra, the existing Classical instruments and sections were retained (string section, woodwinds, brass and percussion), but these sections were typically expanded to make a fuller, bigger sound. For example, while a Baroque orchestra may have had two double bass players, a Romantic orchestra could have as many as ten. ""As music grew more expressive, the standard orchestral palette just wasn't rich enough for many Romantic composers.""  New woodwind instruments were added, such as the contrabassoon, bass clarinet and piccolo and new percussion instruments were added, including xylophones, drums, celestes (a bell-like keyboard instrument), large orchestral harps, bells, and triangles  and even wind machines for sound effects.",What new percussion instruments were added to the Romantic repertoire?," xylophones, drums, celestes (a bell-like keyboard instrument), large orchestral harps, bells, and triangles."," bass clarinet and piccolo a bell like keyboard instrument, guitar clarineter a blue xylophones, drums, celestes a new keyboard instrument. the contrabassoon, bass clarinet and piccolo,"," tambour, bass faking a violin like keyboard instruments,"," woodwind instruments, blues and bells."
"In the Romantic era, the modern piano, with a more powerful, sustained tone and a wider range took over from the more delicate-sounding fortepiano. In the orchestra, the existing Classical instruments and sections were retained (string section, woodwinds, brass and percussion), but these sections were typically expanded to make a fuller, bigger sound. For example, while a Baroque orchestra may have had two double bass players, a Romantic orchestra could have as many as ten. ""As music grew more expressive, the standard orchestral palette just wasn't rich enough for many Romantic composers.""  New woodwind instruments were added, such as the contrabassoon, bass clarinet and piccolo and new percussion instruments were added, including xylophones, drums, celestes (a bell-like keyboard instrument), large orchestral harps, bells, and triangles  and even wind machines for sound effects.",Why was a Romantic orchestra more expressive?," ""As music grew more expressive, the standard orchestral palette just wasn't rich enough for many Romantic composers.""", The standard orchestral palette was too rich.," ""Ar music ww e more expressive and the standard Orchestral palette had two double bass players.""", It could have as many as 10 composers in it.
"In the Romantic era, the modern piano, with a more powerful, sustained tone and a wider range took over from the more delicate-sounding fortepiano. In the orchestra, the existing Classical instruments and sections were retained (string section, woodwinds, brass and percussion), but these sections were typically expanded to make a fuller, bigger sound. For example, while a Baroque orchestra may have had two double bass players, a Romantic orchestra could have as many as ten. ""As music grew more expressive, the standard orchestral palette just wasn't rich enough for many Romantic composers.""  New woodwind instruments were added, such as the contrabassoon, bass clarinet and piccolo and new percussion instruments were added, including xylophones, drums, celestes (a bell-like keyboard instrument), large orchestral harps, bells, and triangles  and even wind machines for sound effects.",What were retained in the Romantic era?, classical instruments and sections, violin sections, percussion instruments and instruments, woodwind sections and percussion
" The exta were the entrails of a sacrificed animal, comprising in Cicero's enumeration the gall bladder (fel), liver (iecur), heart (cor), and lungs (pulmones). The exta were exposed for litatio (divine approval) as part of Roman liturgy, but were ""read"" in the context of the disciplina Etrusca. As a product of Roman sacrifice, the exta and blood are reserved for the gods, while the meat (viscera) is shared among human beings in a communal meal. The exta of bovine victims were usually stewed in a pot (olla or aula), while those of sheep or pigs were grilled on skewers. When the deity's portion was cooked, it was sprinkled with mola salsa (ritually prepared salted flour) and wine, then placed in the fire on the altar for the offering; the technical verb for this action was porricere.",What meat was grilled on the altar?, pork, pigs, chicken, grilled chicken
" The exta were the entrails of a sacrificed animal, comprising in Cicero's enumeration the gall bladder (fel), liver (iecur), heart (cor), and lungs (pulmones). The exta were exposed for litatio (divine approval) as part of Roman liturgy, but were ""read"" in the context of the disciplina Etrusca. As a product of Roman sacrifice, the exta and blood are reserved for the gods, while the meat (viscera) is shared among human beings in a communal meal. The exta of bovine victims were usually stewed in a pot (olla or aula), while those of sheep or pigs were grilled on skewers. When the deity's portion was cooked, it was sprinkled with mola salsa (ritually prepared salted flour) and wine, then placed in the fire on the altar for the offering; the technical verb for this action was porricere.",What is shared among human beings in the exta?, meat (viscera) is shared among human beings in a communal meal., blood is shared among human beings in a pot., meat viscera is eaten on skewers., flesh viscera is shared in pigs.
" The exta were the entrails of a sacrificed animal, comprising in Cicero's enumeration the gall bladder (fel), liver (iecur), heart (cor), and lungs (pulmones). The exta were exposed for litatio (divine approval) as part of Roman liturgy, but were ""read"" in the context of the disciplina Etrusca. As a product of Roman sacrifice, the exta and blood are reserved for the gods, while the meat (viscera) is shared among human beings in a communal meal. The exta of bovine victims were usually stewed in a pot (olla or aula), while those of sheep or pigs were grilled on skewers. When the deity's portion was cooked, it was sprinkled with mola salsa (ritually prepared salted flour) and wine, then placed in the fire on the altar for the offering; the technical verb for this action was porricere.",What animals were grilled on the altar?, chicken or pigs, pigs, sheep or pigs, cows or pigs
" The exta were the entrails of a sacrificed animal, comprising in Cicero's enumeration the gall bladder (fel), liver (iecur), heart (cor), and lungs (pulmones). The exta were exposed for litatio (divine approval) as part of Roman liturgy, but were ""read"" in the context of the disciplina Etrusca. As a product of Roman sacrifice, the exta and blood are reserved for the gods, while the meat (viscera) is shared among human beings in a communal meal. The exta of bovine victims were usually stewed in a pot (olla or aula), while those of sheep or pigs were grilled on skewers. When the deity's portion was cooked, it was sprinkled with mola salsa (ritually prepared salted flour) and wine, then placed in the fire on the altar for the offering; the technical verb for this action was porricere.",Why were the exta exposed?," The exta were exposed for litatio (divine approval) as part of Roman liturgy, but were ""read"" in the context of the disciplina Etrusca."," When the deity's portion was cooked, it was sprinkled with The exta were given the divine approval by the gods.", They were given pleasures as part of Roman liturgy., There was a product of Roman sacrifice.
" The exta were the entrails of a sacrificed animal, comprising in Cicero's enumeration the gall bladder (fel), liver (iecur), heart (cor), and lungs (pulmones). The exta were exposed for litatio (divine approval) as part of Roman liturgy, but were ""read"" in the context of the disciplina Etrusca. As a product of Roman sacrifice, the exta and blood are reserved for the gods, while the meat (viscera) is shared among human beings in a communal meal. The exta of bovine victims were usually stewed in a pot (olla or aula), while those of sheep or pigs were grilled on skewers. When the deity's portion was cooked, it was sprinkled with mola salsa (ritually prepared salted flour) and wine, then placed in the fire on the altar for the offering; the technical verb for this action was porricere.",What was the deity portion cooked with when it's a sacrifice?, it was sprinkled with mola salsa (ritually prepared salted flour) and wine, it was baked with mola salsa," it was cooked, then placed in the fire on the altar"," it was made with a sauce, salt and meat"
" The exta were the entrails of a sacrificed animal, comprising in Cicero's enumeration the gall bladder (fel), liver (iecur), heart (cor), and lungs (pulmones). The exta were exposed for litatio (divine approval) as part of Roman liturgy, but were ""read"" in the context of the disciplina Etrusca. As a product of Roman sacrifice, the exta and blood are reserved for the gods, while the meat (viscera) is shared among human beings in a communal meal. The exta of bovine victims were usually stewed in a pot (olla or aula), while those of sheep or pigs were grilled on skewers. When the deity's portion was cooked, it was sprinkled with mola salsa (ritually prepared salted flour) and wine, then placed in the fire on the altar for the offering; the technical verb for this action was porricere.",What were the extas of an animal?," the gall bladder (fel), liver (iecur), heart (cor), and lungs (pulmones)", liver cor.," liver cor , kidney, lungs"," the gall, cor, heart"
"In the early part of the 20th century, San Diego hosted two World's Fairs: the Panama-California Exposition in 1915 and the California Pacific International Exposition in 1935. Both expositions were held in Balboa Park, and many of the Spanish/Baroque-style buildings that were built for those expositions remain to this day as central features of the park. The buildings were intended to be temporary structures, but most remained in continuous use until they progressively fell into disrepair. Most were eventually rebuilt, using castings of the original façades to retain the architectural style. The menagerie of exotic animals featured at the 1915 exposition provided the basis for the San Diego Zoo. During the 1950s there was a citywide festival called Fiesta del Pacifico highlighting the area's Spanish and Mexican past. In the 2010s there was a proposal for a large-scale celebration of the 100th anniversary of Balboa Park, but the plans were abandoned when the organization tasked with putting on the celebration went out of business.",What was the name of two World's Fair in 1915?, Panama-California Exposition, Brazil Pacific Exposition, Argentina Chilean Exposition, China Mexican Exposition
"In the early part of the 20th century, San Diego hosted two World's Fairs: the Panama-California Exposition in 1915 and the California Pacific International Exposition in 1935. Both expositions were held in Balboa Park, and many of the Spanish/Baroque-style buildings that were built for those expositions remain to this day as central features of the park. The buildings were intended to be temporary structures, but most remained in continuous use until they progressively fell into disrepair. Most were eventually rebuilt, using castings of the original façades to retain the architectural style. The menagerie of exotic animals featured at the 1915 exposition provided the basis for the San Diego Zoo. During the 1950s there was a citywide festival called Fiesta del Pacifico highlighting the area's Spanish and Mexican past. In the 2010s there was a proposal for a large-scale celebration of the 100th anniversary of Balboa Park, but the plans were abandoned when the organization tasked with putting on the celebration went out of business.",In what century did San Diego host two World's Fair?, 1920s, 1920, 1930s, 1940s
"In the early part of the 20th century, San Diego hosted two World's Fairs: the Panama-California Exposition in 1915 and the California Pacific International Exposition in 1935. Both expositions were held in Balboa Park, and many of the Spanish/Baroque-style buildings that were built for those expositions remain to this day as central features of the park. The buildings were intended to be temporary structures, but most remained in continuous use until they progressively fell into disrepair. Most were eventually rebuilt, using castings of the original façades to retain the architectural style. The menagerie of exotic animals featured at the 1915 exposition provided the basis for the San Diego Zoo. During the 1950s there was a citywide festival called Fiesta del Pacifico highlighting the area's Spanish and Mexican past. In the 2010s there was a proposal for a large-scale celebration of the 100th anniversary of Balboa Park, but the plans were abandoned when the organization tasked with putting on the celebration went out of business.",When did San Diego host two World's Fair?, 20th century, 18th century, the 1900s, 20st century
"In the early part of the 20th century, San Diego hosted two World's Fairs: the Panama-California Exposition in 1915 and the California Pacific International Exposition in 1935. Both expositions were held in Balboa Park, and many of the Spanish/Baroque-style buildings that were built for those expositions remain to this day as central features of the park. The buildings were intended to be temporary structures, but most remained in continuous use until they progressively fell into disrepair. Most were eventually rebuilt, using castings of the original façades to retain the architectural style. The menagerie of exotic animals featured at the 1915 exposition provided the basis for the San Diego Zoo. During the 1950s there was a citywide festival called Fiesta del Pacifico highlighting the area's Spanish and Mexican past. In the 2010s there was a proposal for a large-scale celebration of the 100th anniversary of Balboa Park, but the plans were abandoned when the organization tasked with putting on the celebration went out of business.",When was the California Pacific International Exposition held?, 1935, 1915, 1936, 1950
"In the early part of the 20th century, San Diego hosted two World's Fairs: the Panama-California Exposition in 1915 and the California Pacific International Exposition in 1935. Both expositions were held in Balboa Park, and many of the Spanish/Baroque-style buildings that were built for those expositions remain to this day as central features of the park. The buildings were intended to be temporary structures, but most remained in continuous use until they progressively fell into disrepair. Most were eventually rebuilt, using castings of the original façades to retain the architectural style. The menagerie of exotic animals featured at the 1915 exposition provided the basis for the San Diego Zoo. During the 1950s there was a citywide festival called Fiesta del Pacifico highlighting the area's Spanish and Mexican past. In the 2010s there was a proposal for a large-scale celebration of the 100th anniversary of Balboa Park, but the plans were abandoned when the organization tasked with putting on the celebration went out of business.",In what decade did the San Diego Zoo begin to be a part of?, 1940s, 1920s, 1937, 1950s
"In the early part of the 20th century, San Diego hosted two World's Fairs: the Panama-California Exposition in 1915 and the California Pacific International Exposition in 1935. Both expositions were held in Balboa Park, and many of the Spanish/Baroque-style buildings that were built for those expositions remain to this day as central features of the park. The buildings were intended to be temporary structures, but most remained in continuous use until they progressively fell into disrepair. Most were eventually rebuilt, using castings of the original façades to retain the architectural style. The menagerie of exotic animals featured at the 1915 exposition provided the basis for the San Diego Zoo. During the 1950s there was a citywide festival called Fiesta del Pacifico highlighting the area's Spanish and Mexican past. In the 2010s there was a proposal for a large-scale celebration of the 100th anniversary of Balboa Park, but the plans were abandoned when the organization tasked with putting on the celebration went out of business.",When was the Fiesta del Pacifico festival?, 1950s, 1930s, 1900s, 1915
"In the early part of the 20th century, San Diego hosted two World's Fairs: the Panama-California Exposition in 1915 and the California Pacific International Exposition in 1935. Both expositions were held in Balboa Park, and many of the Spanish/Baroque-style buildings that were built for those expositions remain to this day as central features of the park. The buildings were intended to be temporary structures, but most remained in continuous use until they progressively fell into disrepair. Most were eventually rebuilt, using castings of the original façades to retain the architectural style. The menagerie of exotic animals featured at the 1915 exposition provided the basis for the San Diego Zoo. During the 1950s there was a citywide festival called Fiesta del Pacifico highlighting the area's Spanish and Mexican past. In the 2010s there was a proposal for a large-scale celebration of the 100th anniversary of Balboa Park, but the plans were abandoned when the organization tasked with putting on the celebration went out of business.",What was the name of the exposition that featured exotic animals at Balboa Park?, San Diego Zoo, San Diego World's Fairs, San Diego Exposition, Santa Cruz Zoo
"In the early part of the 20th century, San Diego hosted two World's Fairs: the Panama-California Exposition in 1915 and the California Pacific International Exposition in 1935. Both expositions were held in Balboa Park, and many of the Spanish/Baroque-style buildings that were built for those expositions remain to this day as central features of the park. The buildings were intended to be temporary structures, but most remained in continuous use until they progressively fell into disrepair. Most were eventually rebuilt, using castings of the original façades to retain the architectural style. The menagerie of exotic animals featured at the 1915 exposition provided the basis for the San Diego Zoo. During the 1950s there was a citywide festival called Fiesta del Pacifico highlighting the area's Spanish and Mexican past. In the 2010s there was a proposal for a large-scale celebration of the 100th anniversary of Balboa Park, but the plans were abandoned when the organization tasked with putting on the celebration went out of business.",Where were the expositions held?, Balboa Park, Potagonia Park, La Lutana Park, San Diego
"In the early part of the 20th century, San Diego hosted two World's Fairs: the Panama-California Exposition in 1915 and the California Pacific International Exposition in 1935. Both expositions were held in Balboa Park, and many of the Spanish/Baroque-style buildings that were built for those expositions remain to this day as central features of the park. The buildings were intended to be temporary structures, but most remained in continuous use until they progressively fell into disrepair. Most were eventually rebuilt, using castings of the original façades to retain the architectural style. The menagerie of exotic animals featured at the 1915 exposition provided the basis for the San Diego Zoo. During the 1950s there was a citywide festival called Fiesta del Pacifico highlighting the area's Spanish and Mexican past. In the 2010s there was a proposal for a large-scale celebration of the 100th anniversary of Balboa Park, but the plans were abandoned when the organization tasked with putting on the celebration went out of business.",What was the name of a citywide festival in 1950s that highlighted Spanish and Mexican past?, Fiesta del Pacifico, Panama California Exposition, The California Pacific International Exposition in 1935, the Panama Pacific International Exposposition
"When interviewed for Mojo magazine the band said the most amazing sight at Live Aid was to see the audience clapping to ""Radio Ga Ga"". Brian May stated: ""I'd never seen anything like that in my life and it wasn't calculated either. We understood our audience and played to them but that was one of those weird accidents because of the (music) video. I remember thinking 'oh great, they've picked it up' and then I thought 'this is not a Queen audience'. This is a general audience who've bought tickets before they even knew we were on the bill. And they all did it. How did they know? Nobody told them to do it.""",What was the general audience who did it?, nobody told them to do it. Which is a general audience who've bought tickets before they even knew we were on the bill., The general audience who played to the audience., Brian May was the only audience who played to them., All of them knew they were on the bill.
"When interviewed for Mojo magazine the band said the most amazing sight at Live Aid was to see the audience clapping to ""Radio Ga Ga"". Brian May stated: ""I'd never seen anything like that in my life and it wasn't calculated either. We understood our audience and played to them but that was one of those weird accidents because of the (music) video. I remember thinking 'oh great, they've picked it up' and then I thought 'this is not a Queen audience'. This is a general audience who've bought tickets before they even knew we were on the bill. And they all did it. How did they know? Nobody told them to do it.""",What was the most amazing sight at Live Aid?," ""Radio Ga Ga"""," ""Must magazine""", The audience, The Queen audience
"When interviewed for Mojo magazine the band said the most amazing sight at Live Aid was to see the audience clapping to ""Radio Ga Ga"". Brian May stated: ""I'd never seen anything like that in my life and it wasn't calculated either. We understood our audience and played to them but that was one of those weird accidents because of the (music) video. I remember thinking 'oh great, they've picked it up' and then I thought 'this is not a Queen audience'. This is a general audience who've bought tickets before they even knew we were on the bill. And they all did it. How did they know? Nobody told them to do it.""",What magazine interviewed the band for Live Aid?, Mojo, Music, Magazine, Radio Ga Ga
