context,question,answer,false_answer1,false_answer2,false_answer3
"Bears are carnivoran mammals of the family Ursidae. They are classified as caniforms, or doglike carnivorans. Although only eight species of bears are extant, they are widespread, appearing in a wide variety of habitats throughout the Northern Hemisphere and partially in the Southern Hemisphere. Bears are found on the continents of North America, South America, Europe, and Asia. Common characteristics of modern bears include large bodies with stocky legs, long snouts, small rounded ears, shaggy hair, plantigrade paws with five nonretractile claws, and short tails While the polar bear is mostly carnivorous, and the giant panda feeds almost entirely on bamboo, the remaining six species are omnivorous with varied diets. With the exception of courting individuals and mothers with their young, bears are typically solitary animals. They may be diurnal or nocturnal and have an excellent sense of smell. Despite their heavy build and awkward gait, they are adept runners, climbers, and swimmers. Bears use shelters, such as caves and logs, as their dens; most species occupy their dens during the winter for a long period of hibernation, up to 100 days.Bears have been hunted since prehistoric times for their meat and fur; they have been used for bear-baiting and other forms of entertainment, such as being made to dance. With their powerful physical presence, they play a prominent role in the arts, mythology, and other cultural aspects of various human societies. In modern times, bears have come under pressure through encroachment on their habitats and illegal trade in bear parts, including the Asian bile bear market. The IUCN lists six bear species as vulnerable or endangered, and even least concern species, such as the brown bear, are at risk of extirpation in certain countries. The poaching and international trade of these most threatened populations are prohibited, but still ongoing. The English word bear comes from Old English bera and belongs to a family of names for the bear in Germanic languages, such as Swedish björn, also used as a first name. This form is conventionally said to be related to a Proto-Indo-European word for brown, so that bear would mean the brown one.[1][2] However, Ringe notes that while this etymology is semantically plausible, a word meaning brown of this form cannot be found in Proto-Indo-European. He suggests instead that bear is from the Proto-Indo-European word *ǵʰwḗr- ~ *ǵʰwér wild animal.[3] This terminology for the animal originated as a taboo avoidance term: proto-Germanic tribes replaced their original word for bear—arkto—with this euphemistic expression out of fear that speaking the animal's true name might cause it to appear.[4][5] According to author Ralph Keyes, this is the oldest known euphemism.[6] Bear taxon names such as Arctoidea and Helarctos come from the ancient Greek ἄρκτος (arktos), meaning bear,[7] as do the names arctic and antarctic, via the name of the constellation Ursa Major, the Great Bear, prominent in the northern sky.[8] Bear taxon names such as Ursidae and Ursus come from Latin Ursus/Ursa, he-bear/she-bear.[8] The female first name Ursula, originally derived from a Christian saint's name, means little she-bear (diminutive of Latin ursa). In Switzerland, the male first name Urs is especially popular, while the name of the canton and city of Bern is derived from Bär, German for bear. The Germanic name Bernard (including Bernhardt and similar forms)",What are the paws of modern bear?, five nonretractile claws, long legs, shaggy hair, long snouts
"Bears are carnivoran mammals of the family Ursidae. They are classified as caniforms, or doglike carnivorans. Although only eight species of bears are extant, they are widespread, appearing in a wide variety of habitats throughout the Northern Hemisphere and partially in the Southern Hemisphere. Bears are found on the continents of North America, South America, Europe, and Asia. Common characteristics of modern bears include large bodies with stocky legs, long snouts, small rounded ears, shaggy hair, plantigrade paws with five nonretractile claws, and short tails While the polar bear is mostly carnivorous, and the giant panda feeds almost entirely on bamboo, the remaining six species are omnivorous with varied diets. With the exception of courting individuals and mothers with their young, bears are typically solitary animals. They may be diurnal or nocturnal and have an excellent sense of smell. Despite their heavy build and awkward gait, they are adept runners, climbers, and swimmers. Bears use shelters, such as caves and logs, as their dens; most species occupy their dens during the winter for a long period of hibernation, up to 100 days.Bears have been hunted since prehistoric times for their meat and fur; they have been used for bear-baiting and other forms of entertainment, such as being made to dance. With their powerful physical presence, they play a prominent role in the arts, mythology, and other cultural aspects of various human societies. In modern times, bears have come under pressure through encroachment on their habitats and illegal trade in bear parts, including the Asian bile bear market. The IUCN lists six bear species as vulnerable or endangered, and even least concern species, such as the brown bear, are at risk of extirpation in certain countries. The poaching and international trade of these most threatened populations are prohibited, but still ongoing. The English word bear comes from Old English bera and belongs to a family of names for the bear in Germanic languages, such as Swedish björn, also used as a first name. This form is conventionally said to be related to a Proto-Indo-European word for brown, so that bear would mean the brown one.[1][2] However, Ringe notes that while this etymology is semantically plausible, a word meaning brown of this form cannot be found in Proto-Indo-European. He suggests instead that bear is from the Proto-Indo-European word *ǵʰwḗr- ~ *ǵʰwér wild animal.[3] This terminology for the animal originated as a taboo avoidance term: proto-Germanic tribes replaced their original word for bear—arkto—with this euphemistic expression out of fear that speaking the animal's true name might cause it to appear.[4][5] According to author Ralph Keyes, this is the oldest known euphemism.[6] Bear taxon names such as Arctoidea and Helarctos come from the ancient Greek ἄρκτος (arktos), meaning bear,[7] as do the names arctic and antarctic, via the name of the constellation Ursa Major, the Great Bear, prominent in the northern sky.[8] Bear taxon names such as Ursidae and Ursus come from Latin Ursus/Ursa, he-bear/she-bear.[8] The female first name Ursula, originally derived from a Christian saint's name, means little she-bear (diminutive of Latin ursa). In Switzerland, the male first name Urs is especially popular, while the name of the canton and city of Bern is derived from Bär, German for bear. The Germanic name Bernard (including Bernhardt and similar forms)",What continent is the bile bear market in?, africa, East Africa, North America, Asia
"Bears are carnivoran mammals of the family Ursidae. They are classified as caniforms, or doglike carnivorans. Although only eight species of bears are extant, they are widespread, appearing in a wide variety of habitats throughout the Northern Hemisphere and partially in the Southern Hemisphere. Bears are found on the continents of North America, South America, Europe, and Asia. Common characteristics of modern bears include large bodies with stocky legs, long snouts, small rounded ears, shaggy hair, plantigrade paws with five nonretractile claws, and short tails While the polar bear is mostly carnivorous, and the giant panda feeds almost entirely on bamboo, the remaining six species are omnivorous with varied diets. With the exception of courting individuals and mothers with their young, bears are typically solitary animals. They may be diurnal or nocturnal and have an excellent sense of smell. Despite their heavy build and awkward gait, they are adept runners, climbers, and swimmers. Bears use shelters, such as caves and logs, as their dens; most species occupy their dens during the winter for a long period of hibernation, up to 100 days.Bears have been hunted since prehistoric times for their meat and fur; they have been used for bear-baiting and other forms of entertainment, such as being made to dance. With their powerful physical presence, they play a prominent role in the arts, mythology, and other cultural aspects of various human societies. In modern times, bears have come under pressure through encroachment on their habitats and illegal trade in bear parts, including the Asian bile bear market. The IUCN lists six bear species as vulnerable or endangered, and even least concern species, such as the brown bear, are at risk of extirpation in certain countries. The poaching and international trade of these most threatened populations are prohibited, but still ongoing. The English word bear comes from Old English bera and belongs to a family of names for the bear in Germanic languages, such as Swedish björn, also used as a first name. This form is conventionally said to be related to a Proto-Indo-European word for brown, so that bear would mean the brown one.[1][2] However, Ringe notes that while this etymology is semantically plausible, a word meaning brown of this form cannot be found in Proto-Indo-European. He suggests instead that bear is from the Proto-Indo-European word *ǵʰwḗr- ~ *ǵʰwér wild animal.[3] This terminology for the animal originated as a taboo avoidance term: proto-Germanic tribes replaced their original word for bear—arkto—with this euphemistic expression out of fear that speaking the animal's true name might cause it to appear.[4][5] According to author Ralph Keyes, this is the oldest known euphemism.[6] Bear taxon names such as Arctoidea and Helarctos come from the ancient Greek ἄρκτος (arktos), meaning bear,[7] as do the names arctic and antarctic, via the name of the constellation Ursa Major, the Great Bear, prominent in the northern sky.[8] Bear taxon names such as Ursidae and Ursus come from Latin Ursus/Ursa, he-bear/she-bear.[8] The female first name Ursula, originally derived from a Christian saint's name, means little she-bear (diminutive of Latin ursa). In Switzerland, the male first name Urs is especially popular, while the name of the canton and city of Bern is derived from Bär, German for bear. The Germanic name Bernard (including Bernhardt and similar forms)",What is one form of entertainment that bears have been used for?, to dance, to make friends, to eat, to look for food
"Bears are carnivoran mammals of the family Ursidae. They are classified as caniforms, or doglike carnivorans. Although only eight species of bears are extant, they are widespread, appearing in a wide variety of habitats throughout the Northern Hemisphere and partially in the Southern Hemisphere. Bears are found on the continents of North America, South America, Europe, and Asia. Common characteristics of modern bears include large bodies with stocky legs, long snouts, small rounded ears, shaggy hair, plantigrade paws with five nonretractile claws, and short tails While the polar bear is mostly carnivorous, and the giant panda feeds almost entirely on bamboo, the remaining six species are omnivorous with varied diets. With the exception of courting individuals and mothers with their young, bears are typically solitary animals. They may be diurnal or nocturnal and have an excellent sense of smell. Despite their heavy build and awkward gait, they are adept runners, climbers, and swimmers. Bears use shelters, such as caves and logs, as their dens; most species occupy their dens during the winter for a long period of hibernation, up to 100 days.Bears have been hunted since prehistoric times for their meat and fur; they have been used for bear-baiting and other forms of entertainment, such as being made to dance. With their powerful physical presence, they play a prominent role in the arts, mythology, and other cultural aspects of various human societies. In modern times, bears have come under pressure through encroachment on their habitats and illegal trade in bear parts, including the Asian bile bear market. The IUCN lists six bear species as vulnerable or endangered, and even least concern species, such as the brown bear, are at risk of extirpation in certain countries. The poaching and international trade of these most threatened populations are prohibited, but still ongoing. The English word bear comes from Old English bera and belongs to a family of names for the bear in Germanic languages, such as Swedish björn, also used as a first name. This form is conventionally said to be related to a Proto-Indo-European word for brown, so that bear would mean the brown one.[1][2] However, Ringe notes that while this etymology is semantically plausible, a word meaning brown of this form cannot be found in Proto-Indo-European. He suggests instead that bear is from the Proto-Indo-European word *ǵʰwḗr- ~ *ǵʰwér wild animal.[3] This terminology for the animal originated as a taboo avoidance term: proto-Germanic tribes replaced their original word for bear—arkto—with this euphemistic expression out of fear that speaking the animal's true name might cause it to appear.[4][5] According to author Ralph Keyes, this is the oldest known euphemism.[6] Bear taxon names such as Arctoidea and Helarctos come from the ancient Greek ἄρκτος (arktos), meaning bear,[7] as do the names arctic and antarctic, via the name of the constellation Ursa Major, the Great Bear, prominent in the northern sky.[8] Bear taxon names such as Ursidae and Ursus come from Latin Ursus/Ursa, he-bear/she-bear.[8] The female first name Ursula, originally derived from a Christian saint's name, means little she-bear (diminutive of Latin ursa). In Switzerland, the male first name Urs is especially popular, while the name of the canton and city of Bern is derived from Bär, German for bear. The Germanic name Bernard (including Bernhardt and similar forms)",What are bears classified as?," caniforms, or doglike carnivorans", carnivorans or polar animals," catidianae, or red bear", black bears
"Bears are carnivoran mammals of the family Ursidae. They are classified as caniforms, or doglike carnivorans. Although only eight species of bears are extant, they are widespread, appearing in a wide variety of habitats throughout the Northern Hemisphere and partially in the Southern Hemisphere. Bears are found on the continents of North America, South America, Europe, and Asia. Common characteristics of modern bears include large bodies with stocky legs, long snouts, small rounded ears, shaggy hair, plantigrade paws with five nonretractile claws, and short tails While the polar bear is mostly carnivorous, and the giant panda feeds almost entirely on bamboo, the remaining six species are omnivorous with varied diets. With the exception of courting individuals and mothers with their young, bears are typically solitary animals. They may be diurnal or nocturnal and have an excellent sense of smell. Despite their heavy build and awkward gait, they are adept runners, climbers, and swimmers. Bears use shelters, such as caves and logs, as their dens; most species occupy their dens during the winter for a long period of hibernation, up to 100 days.Bears have been hunted since prehistoric times for their meat and fur; they have been used for bear-baiting and other forms of entertainment, such as being made to dance. With their powerful physical presence, they play a prominent role in the arts, mythology, and other cultural aspects of various human societies. In modern times, bears have come under pressure through encroachment on their habitats and illegal trade in bear parts, including the Asian bile bear market. The IUCN lists six bear species as vulnerable or endangered, and even least concern species, such as the brown bear, are at risk of extirpation in certain countries. The poaching and international trade of these most threatened populations are prohibited, but still ongoing. The English word bear comes from Old English bera and belongs to a family of names for the bear in Germanic languages, such as Swedish björn, also used as a first name. This form is conventionally said to be related to a Proto-Indo-European word for brown, so that bear would mean the brown one.[1][2] However, Ringe notes that while this etymology is semantically plausible, a word meaning brown of this form cannot be found in Proto-Indo-European. He suggests instead that bear is from the Proto-Indo-European word *ǵʰwḗr- ~ *ǵʰwér wild animal.[3] This terminology for the animal originated as a taboo avoidance term: proto-Germanic tribes replaced their original word for bear—arkto—with this euphemistic expression out of fear that speaking the animal's true name might cause it to appear.[4][5] According to author Ralph Keyes, this is the oldest known euphemism.[6] Bear taxon names such as Arctoidea and Helarctos come from the ancient Greek ἄρκτος (arktos), meaning bear,[7] as do the names arctic and antarctic, via the name of the constellation Ursa Major, the Great Bear, prominent in the northern sky.[8] Bear taxon names such as Ursidae and Ursus come from Latin Ursus/Ursa, he-bear/she-bear.[8] The female first name Ursula, originally derived from a Christian saint's name, means little she-bear (diminutive of Latin ursa). In Switzerland, the male first name Urs is especially popular, while the name of the canton and city of Bern is derived from Bär, German for bear. The Germanic name Bernard (including Bernhardt and similar forms)",What are the characteristics of solitary animals?, They may be diurnal or nocturnal and have an excellent sense of smell., They can be easily seen and found in caves., They are easily hunted for their meat., They can bears occupy their dens during the winter for a long period of hibernation.
"Bears are carnivoran mammals of the family Ursidae. They are classified as caniforms, or doglike carnivorans. Although only eight species of bears are extant, they are widespread, appearing in a wide variety of habitats throughout the Northern Hemisphere and partially in the Southern Hemisphere. Bears are found on the continents of North America, South America, Europe, and Asia. Common characteristics of modern bears include large bodies with stocky legs, long snouts, small rounded ears, shaggy hair, plantigrade paws with five nonretractile claws, and short tails While the polar bear is mostly carnivorous, and the giant panda feeds almost entirely on bamboo, the remaining six species are omnivorous with varied diets. With the exception of courting individuals and mothers with their young, bears are typically solitary animals. They may be diurnal or nocturnal and have an excellent sense of smell. Despite their heavy build and awkward gait, they are adept runners, climbers, and swimmers. Bears use shelters, such as caves and logs, as their dens; most species occupy their dens during the winter for a long period of hibernation, up to 100 days.Bears have been hunted since prehistoric times for their meat and fur; they have been used for bear-baiting and other forms of entertainment, such as being made to dance. With their powerful physical presence, they play a prominent role in the arts, mythology, and other cultural aspects of various human societies. In modern times, bears have come under pressure through encroachment on their habitats and illegal trade in bear parts, including the Asian bile bear market. The IUCN lists six bear species as vulnerable or endangered, and even least concern species, such as the brown bear, are at risk of extirpation in certain countries. The poaching and international trade of these most threatened populations are prohibited, but still ongoing. The English word bear comes from Old English bera and belongs to a family of names for the bear in Germanic languages, such as Swedish björn, also used as a first name. This form is conventionally said to be related to a Proto-Indo-European word for brown, so that bear would mean the brown one.[1][2] However, Ringe notes that while this etymology is semantically plausible, a word meaning brown of this form cannot be found in Proto-Indo-European. He suggests instead that bear is from the Proto-Indo-European word *ǵʰwḗr- ~ *ǵʰwér wild animal.[3] This terminology for the animal originated as a taboo avoidance term: proto-Germanic tribes replaced their original word for bear—arkto—with this euphemistic expression out of fear that speaking the animal's true name might cause it to appear.[4][5] According to author Ralph Keyes, this is the oldest known euphemism.[6] Bear taxon names such as Arctoidea and Helarctos come from the ancient Greek ἄρκτος (arktos), meaning bear,[7] as do the names arctic and antarctic, via the name of the constellation Ursa Major, the Great Bear, prominent in the northern sky.[8] Bear taxon names such as Ursidae and Ursus come from Latin Ursus/Ursa, he-bear/she-bear.[8] The female first name Ursula, originally derived from a Christian saint's name, means little she-bear (diminutive of Latin ursa). In Switzerland, the male first name Urs is especially popular, while the name of the canton and city of Bern is derived from Bär, German for bear. The Germanic name Bernard (including Bernhardt and similar forms)",Where are bears found?," the continents of North America, South America, Europe, and Asia", the continent and the southern Hemisphere," Australia, Europe, and Asia."," The southern Hemitsphere, North America and Europe"
"Bears are carnivoran mammals of the family Ursidae. They are classified as caniforms, or doglike carnivorans. Although only eight species of bears are extant, they are widespread, appearing in a wide variety of habitats throughout the Northern Hemisphere and partially in the Southern Hemisphere. Bears are found on the continents of North America, South America, Europe, and Asia. Common characteristics of modern bears include large bodies with stocky legs, long snouts, small rounded ears, shaggy hair, plantigrade paws with five nonretractile claws, and short tails While the polar bear is mostly carnivorous, and the giant panda feeds almost entirely on bamboo, the remaining six species are omnivorous with varied diets. With the exception of courting individuals and mothers with their young, bears are typically solitary animals. They may be diurnal or nocturnal and have an excellent sense of smell. Despite their heavy build and awkward gait, they are adept runners, climbers, and swimmers. Bears use shelters, such as caves and logs, as their dens; most species occupy their dens during the winter for a long period of hibernation, up to 100 days.Bears have been hunted since prehistoric times for their meat and fur; they have been used for bear-baiting and other forms of entertainment, such as being made to dance. With their powerful physical presence, they play a prominent role in the arts, mythology, and other cultural aspects of various human societies. In modern times, bears have come under pressure through encroachment on their habitats and illegal trade in bear parts, including the Asian bile bear market. The IUCN lists six bear species as vulnerable or endangered, and even least concern species, such as the brown bear, are at risk of extirpation in certain countries. The poaching and international trade of these most threatened populations are prohibited, but still ongoing. The English word bear comes from Old English bera and belongs to a family of names for the bear in Germanic languages, such as Swedish björn, also used as a first name. This form is conventionally said to be related to a Proto-Indo-European word for brown, so that bear would mean the brown one.[1][2] However, Ringe notes that while this etymology is semantically plausible, a word meaning brown of this form cannot be found in Proto-Indo-European. He suggests instead that bear is from the Proto-Indo-European word *ǵʰwḗr- ~ *ǵʰwér wild animal.[3] This terminology for the animal originated as a taboo avoidance term: proto-Germanic tribes replaced their original word for bear—arkto—with this euphemistic expression out of fear that speaking the animal's true name might cause it to appear.[4][5] According to author Ralph Keyes, this is the oldest known euphemism.[6] Bear taxon names such as Arctoidea and Helarctos come from the ancient Greek ἄρκτος (arktos), meaning bear,[7] as do the names arctic and antarctic, via the name of the constellation Ursa Major, the Great Bear, prominent in the northern sky.[8] Bear taxon names such as Ursidae and Ursus come from Latin Ursus/Ursa, he-bear/she-bear.[8] The female first name Ursula, originally derived from a Christian saint's name, means little she-bear (diminutive of Latin ursa). In Switzerland, the male first name Urs is especially popular, while the name of the canton and city of Bern is derived from Bär, German for bear. The Germanic name Bernard (including Bernhardt and similar forms)",What are the most threatened populations of bears prohibited?, The poaching and international trade of these animals, The Asian bilis bear market and the polar bear, All the animals that feed in the Southern Hemisphere., The endangered species.
"Bears are carnivoran mammals of the family Ursidae. They are classified as caniforms, or doglike carnivorans. Although only eight species of bears are extant, they are widespread, appearing in a wide variety of habitats throughout the Northern Hemisphere and partially in the Southern Hemisphere. Bears are found on the continents of North America, South America, Europe, and Asia. Common characteristics of modern bears include large bodies with stocky legs, long snouts, small rounded ears, shaggy hair, plantigrade paws with five nonretractile claws, and short tails While the polar bear is mostly carnivorous, and the giant panda feeds almost entirely on bamboo, the remaining six species are omnivorous with varied diets. With the exception of courting individuals and mothers with their young, bears are typically solitary animals. They may be diurnal or nocturnal and have an excellent sense of smell. Despite their heavy build and awkward gait, they are adept runners, climbers, and swimmers. Bears use shelters, such as caves and logs, as their dens; most species occupy their dens during the winter for a long period of hibernation, up to 100 days.Bears have been hunted since prehistoric times for their meat and fur; they have been used for bear-baiting and other forms of entertainment, such as being made to dance. With their powerful physical presence, they play a prominent role in the arts, mythology, and other cultural aspects of various human societies. In modern times, bears have come under pressure through encroachment on their habitats and illegal trade in bear parts, including the Asian bile bear market. The IUCN lists six bear species as vulnerable or endangered, and even least concern species, such as the brown bear, are at risk of extirpation in certain countries. The poaching and international trade of these most threatened populations are prohibited, but still ongoing. The English word bear comes from Old English bera and belongs to a family of names for the bear in Germanic languages, such as Swedish björn, also used as a first name. This form is conventionally said to be related to a Proto-Indo-European word for brown, so that bear would mean the brown one.[1][2] However, Ringe notes that while this etymology is semantically plausible, a word meaning brown of this form cannot be found in Proto-Indo-European. He suggests instead that bear is from the Proto-Indo-European word *ǵʰwḗr- ~ *ǵʰwér wild animal.[3] This terminology for the animal originated as a taboo avoidance term: proto-Germanic tribes replaced their original word for bear—arkto—with this euphemistic expression out of fear that speaking the animal's true name might cause it to appear.[4][5] According to author Ralph Keyes, this is the oldest known euphemism.[6] Bear taxon names such as Arctoidea and Helarctos come from the ancient Greek ἄρκτος (arktos), meaning bear,[7] as do the names arctic and antarctic, via the name of the constellation Ursa Major, the Great Bear, prominent in the northern sky.[8] Bear taxon names such as Ursidae and Ursus come from Latin Ursus/Ursa, he-bear/she-bear.[8] The female first name Ursula, originally derived from a Christian saint's name, means little she-bear (diminutive of Latin ursa). In Switzerland, the male first name Urs is especially popular, while the name of the canton and city of Bern is derived from Bär, German for bear. The Germanic name Bernard (including Bernhardt and similar forms)",How long do most bears stay in the winter?, up to 100 days, up to 30 days, over 500 days, to 10 days
"Bears are carnivoran mammals of the family Ursidae. They are classified as caniforms, or doglike carnivorans. Although only eight species of bears are extant, they are widespread, appearing in a wide variety of habitats throughout the Northern Hemisphere and partially in the Southern Hemisphere. Bears are found on the continents of North America, South America, Europe, and Asia. Common characteristics of modern bears include large bodies with stocky legs, long snouts, small rounded ears, shaggy hair, plantigrade paws with five nonretractile claws, and short tails While the polar bear is mostly carnivorous, and the giant panda feeds almost entirely on bamboo, the remaining six species are omnivorous with varied diets. With the exception of courting individuals and mothers with their young, bears are typically solitary animals. They may be diurnal or nocturnal and have an excellent sense of smell. Despite their heavy build and awkward gait, they are adept runners, climbers, and swimmers. Bears use shelters, such as caves and logs, as their dens; most species occupy their dens during the winter for a long period of hibernation, up to 100 days.Bears have been hunted since prehistoric times for their meat and fur; they have been used for bear-baiting and other forms of entertainment, such as being made to dance. With their powerful physical presence, they play a prominent role in the arts, mythology, and other cultural aspects of various human societies. In modern times, bears have come under pressure through encroachment on their habitats and illegal trade in bear parts, including the Asian bile bear market. The IUCN lists six bear species as vulnerable or endangered, and even least concern species, such as the brown bear, are at risk of extirpation in certain countries. The poaching and international trade of these most threatened populations are prohibited, but still ongoing. The English word bear comes from Old English bera and belongs to a family of names for the bear in Germanic languages, such as Swedish björn, also used as a first name. This form is conventionally said to be related to a Proto-Indo-European word for brown, so that bear would mean the brown one.[1][2] However, Ringe notes that while this etymology is semantically plausible, a word meaning brown of this form cannot be found in Proto-Indo-European. He suggests instead that bear is from the Proto-Indo-European word *ǵʰwḗr- ~ *ǵʰwér wild animal.[3] This terminology for the animal originated as a taboo avoidance term: proto-Germanic tribes replaced their original word for bear—arkto—with this euphemistic expression out of fear that speaking the animal's true name might cause it to appear.[4][5] According to author Ralph Keyes, this is the oldest known euphemism.[6] Bear taxon names such as Arctoidea and Helarctos come from the ancient Greek ἄρκτος (arktos), meaning bear,[7] as do the names arctic and antarctic, via the name of the constellation Ursa Major, the Great Bear, prominent in the northern sky.[8] Bear taxon names such as Ursidae and Ursus come from Latin Ursus/Ursa, he-bear/she-bear.[8] The female first name Ursula, originally derived from a Christian saint's name, means little she-bear (diminutive of Latin ursa). In Switzerland, the male first name Urs is especially popular, while the name of the canton and city of Bern is derived from Bär, German for bear. The Germanic name Bernard (including Bernhardt and similar forms)",How many species of bears are extant?, four, five, three, two
"Bears are carnivoran mammals of the family Ursidae. They are classified as caniforms, or doglike carnivorans. Although only eight species of bears are extant, they are widespread, appearing in a wide variety of habitats throughout the Northern Hemisphere and partially in the Southern Hemisphere. Bears are found on the continents of North America, South America, Europe, and Asia. Common characteristics of modern bears include large bodies with stocky legs, long snouts, small rounded ears, shaggy hair, plantigrade paws with five nonretractile claws, and short tails While the polar bear is mostly carnivorous, and the giant panda feeds almost entirely on bamboo, the remaining six species are omnivorous with varied diets. With the exception of courting individuals and mothers with their young, bears are typically solitary animals. They may be diurnal or nocturnal and have an excellent sense of smell. Despite their heavy build and awkward gait, they are adept runners, climbers, and swimmers. Bears use shelters, such as caves and logs, as their dens; most species occupy their dens during the winter for a long period of hibernation, up to 100 days.Bears have been hunted since prehistoric times for their meat and fur; they have been used for bear-baiting and other forms of entertainment, such as being made to dance. With their powerful physical presence, they play a prominent role in the arts, mythology, and other cultural aspects of various human societies. In modern times, bears have come under pressure through encroachment on their habitats and illegal trade in bear parts, including the Asian bile bear market. The IUCN lists six bear species as vulnerable or endangered, and even least concern species, such as the brown bear, are at risk of extirpation in certain countries. The poaching and international trade of these most threatened populations are prohibited, but still ongoing. The English word bear comes from Old English bera and belongs to a family of names for the bear in Germanic languages, such as Swedish björn, also used as a first name. This form is conventionally said to be related to a Proto-Indo-European word for brown, so that bear would mean the brown one.[1][2] However, Ringe notes that while this etymology is semantically plausible, a word meaning brown of this form cannot be found in Proto-Indo-European. He suggests instead that bear is from the Proto-Indo-European word *ǵʰwḗr- ~ *ǵʰwér wild animal.[3] This terminology for the animal originated as a taboo avoidance term: proto-Germanic tribes replaced their original word for bear—arkto—with this euphemistic expression out of fear that speaking the animal's true name might cause it to appear.[4][5] According to author Ralph Keyes, this is the oldest known euphemism.[6] Bear taxon names such as Arctoidea and Helarctos come from the ancient Greek ἄρκτος (arktos), meaning bear,[7] as do the names arctic and antarctic, via the name of the constellation Ursa Major, the Great Bear, prominent in the northern sky.[8] Bear taxon names such as Ursidae and Ursus come from Latin Ursus/Ursa, he-bear/she-bear.[8] The female first name Ursula, originally derived from a Christian saint's name, means little she-bear (diminutive of Latin ursa). In Switzerland, the male first name Urs is especially popular, while the name of the canton and city of Bern is derived from Bär, German for bear. The Germanic name Bernard (including Bernhardt and similar forms)",How many species of bears are extant?, eight, six, seven, five
